Id,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,SalePrice
1,1710,1,0,2,1,3,208500
2,1262,0,1,2,0,3,181500
3,1786,1,0,2,1,3,223500
4,1717,1,0,1,0,3,140000
5,2198,1,0,2,1,4,250000
6,1362,1,0,1,1,1,143000
7,1694,1,0,2,0,3,307000
8,2090,1,0,2,1,3,200000
9,1774,0,0,2,0,2,129900
10,1077,1,0,1,0,2,118000
11,1040,1,0,1,0,3,129500
12,2324,1,0,3,0,4,345000
13,912,1,0,1,0,2,144000
14,1494,0,0,2,0,3,279500
15,1253,1,0,1,1,2,157000
16,854,0,0,1,0,2,132000
17,1004,1,0,1,0,2,149000
18,1296,0,0,2,0,2,90000
19,1114,1,0,1,1,3,159000
20,1339,0,0,1,0,3,139000
21,2376,0,0,3,1,4,325300
22,1108,0,0,1,0,3,139400
23,1795,0,0,2,0,3,230000
24,1060,1,0,1,0,3,129900
25,1060,1,0,1,0,3,154000
26,1600,0,0,2,0,3,256300
27,900,0,1,1,0,3,134800
28,1704,1,0,2,0,3,306000
29,1600,1,0,1,0,2,207500
30,520,0,0,1,0,1,68500
31,1317,0,0,1,0,3,40000
32,1228,0,0,1,1,3,149350
33,1234,0,0,2,0,3,179900
34,1700,0,1,1,1,4,165500
35,1561,1,0,2,0,2,277500
36,2452,0,0,3,1,4,309000
37,1097,0,0,1,1,3,145000
38,1297,0,1,1,0,3,153000
39,1057,1,0,1,0,3,109000
40,1152,0,0,2,0,2,82000
41,1324,0,0,2,0,3,160000
42,1328,0,1,1,1,2,170000
43,884,1,0,1,0,2,144000
44,938,1,0,1,0,3,130250
45,1150,1,0,1,0,3,141000
46,1752,1,0,2,0,2,319900
47,2149,1,0,1,1,1,239686
48,1656,0,0,2,0,3,249700
49,1452,0,0,2,0,2,113000
50,955,1,0,1,0,3,127000
51,1470,0,1,2,0,3,177000
52,1176,0,0,1,0,3,114500
53,816,1,0,1,0,2,110000
54,1842,2,0,0,1,0,385000
55,1360,0,0,1,0,3,130000
56,1425,0,0,2,0,3,180500
57,1739,1,0,2,1,3,172500
58,1720,0,0,2,1,3,196500
59,2945,0,0,3,1,3,438780
60,780,0,0,1,0,2,124900
61,1158,1,0,1,1,3,158000
62,1111,0,0,1,0,3,101000
63,1370,0,0,2,0,2,202500
64,1710,0,0,2,0,3,140000
65,2034,1,0,2,1,3,219500
66,2473,0,0,2,1,4,317000
67,2207,1,0,2,0,3,180000
68,1479,1,0,2,0,3,226000
69,747,0,0,1,0,2,80000
70,2287,0,0,2,0,3,225000
71,2223,1,0,2,0,3,244000
72,845,1,0,1,0,2,129500
73,1718,0,0,2,1,3,185000
74,1086,1,0,1,0,3,144900
75,1605,0,0,2,0,3,107400
76,988,1,0,1,0,2,91000
77,952,0,0,1,0,2,135750
78,1285,1,0,1,0,2,127000
